Item.[Item],Item.[Item$DisplayName],Item.[Is New Item],Item.[Item Disc Date],Item.[Item Intro Date],Item.[Item Status],Item.[Reporting Item],Item.[Reporting Item$DisplayName],Item.[Segmentation LOB],Item.[Segmentation LOB$DisplayName],Item.[PackageType],Item.[Pack Size],Item.[FN Item],Item.[L1],Item.[L1$DisplayName],Item.[L2],Item.[L2$DisplayName],Item.[L3],Item.[L3$DisplayName],Item.[L4],Item.[L4$DisplayName],Item.[L5],Item.[L5$DisplayName],Item.[L6],Item.[L6$DisplayName],Item.[Planning Item],Item.[Planning Item Locale],Item.[Planning Item Disc Date],Item.[Planning Item Intro Date],Item.[Planning Item$DisplayName],Item.[Transition Item],Item.[Transition Item$DisplayName],Item.[Segmentation Category],Item.[A1],Item.[A1$DisplayName],Item.[A2],Item.[A3],Item.[A3$DisplayName],Item.[A4],Item.[A4$DisplayName],Item.[A5],Item.[PLC Status],Item.[RGM7],Item.[RGM6],Item.[RGM5],Item.[RGM4],Item.[RGM3],Item.[RGM2],Item.[RGM1],Item.[Item Type],Item.[Unit Size],Item.[All Item],Item.[PPG],Item.[Stat Item],Item.[Stat Item$DisplayName],Item.[Stat Item Group],Item.[Stat Item Group$DisplayName],Item.[ContainerType],Item.[Item Class],Item.[Item Stage],Item.[EAN ID],Item.[Transition Group]
LABEL_A010_20_01,LABEL_Wiser Light_Bottle_330,,,,,LABEL_A010_20_01,LABEL_Wiser Light_Bottle_330,Dummy,Dummy,Bottle 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A010_20_01,en-US,,,LABEL_Wiser Light_Bottle_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
LABEL_A010_20_02,LABEL_Wiser Light_Bottle_500,,,,,LABEL_A010_20_02,LABEL_Wiser Light_Bottle_500,Dummy,Dummy,Can 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A010_20_02,en-US,,,LABEL_Wiser Light_Bottle_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A020_10_01,LABEL_Wiser Strong_Can_330,,,,,LABEL_A020_10_01,LABEL_Wiser Strong_Can_330,Dummy,Dummy,Can 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A020_10_01,en-US,,,LABEL_Wiser Strong_Can_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A020_10_02,LABEL_Wiser Strong_Can_500,,,,,LABEL_A020_10_02,LABEL_Wiser Strong_Can_500,Dummy,Dummy,Bottle 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A020_10_02,en-US,,,LABEL_Wiser Strong_Can_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
LABEL_A030_20_01,LABEL_Falstaff Light_Bottle_330,,,,,LABEL_A030_20_01,LABEL_Falstaff Light_Bottle_330,Dummy,Dummy,Bottle 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A030_20_01,en-US,,,LABEL_Falstaff Light_Bottle_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
LABEL_A040_20_02,LABEL_Falstaff Strong_Bottle_500,,,,,LABEL_A040_20_02,LABEL_Falstaff Strong_Bottle_500,Dummy,Dummy,Can 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A040_20_02,en-US,,,LABEL_Falstaff Strong_Bottle_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A050_10_01,LABEL_Falstaff Tropical Grapefruit_Can_330,,,,,LABEL_A050_10_01,LABEL_Falstaff Tropical Grapefruit_Can_330,Dummy,Dummy,Can 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A050_10_01,en-US,,,LABEL_Falstaff Tropical Grapefruit_Can_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A060_10_02,LABEL_Falstaff Tropical Mix_Can_500,,,,,LABEL_A060_10_02,LABEL_Falstaff Tropical Mix_Can_500,Dummy,Dummy,Bottle 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A060_10_02,en-US,,,LABEL_Falstaff Tropical Mix_Can_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
LABEL_A070_20_01,LABEL_Falstaff Tropical Lime_Bottle_330,,,,,LABEL_A070_20_01,LABEL_Falstaff Tropical Lime_Bottle_330,Dummy,Dummy,Bottle 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A070_20_01,en-US,,,LABEL_Falstaff Tropical Lime_Bottle_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
LABEL_A080_20_02,LABEL_Falstaff Tropical Rasberry_Bottle_500,,,,,LABEL_A080_20_02,LABEL_Falstaff Tropical Rasberry_Bottle_500,Dummy,Dummy,Box 12 CT,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A080_20_02,en-US,,,LABEL_Falstaff Tropical Rasberry_Bottle_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOX,Dummy,Dummy,,Dummy
LABEL_A090_30_11,LABEL_Fresh Mini Croissants_Box_12 ct,,,,,LABEL_A090_30_11,LABEL_Fresh Mini Croissants_Box_12 ct,Dummy,Dummy,Box 12 CT,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A090_30_11,en-US,,,LABEL_Fresh Mini Croissants_Box_12 ct,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOX,Dummy,Dummy,,Dummy
LABEL_A100_30_11,LABEL_Marketstreet Donuts Chocolate Box_12 ct,,,,,LABEL_A100_30_11,LABEL_Marketstreet Donuts Chocolate Box_12 ct,Dummy,Dummy,Bag 6.5 OZ,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A100_30_11,en-US,,,LABEL_Marketstreet Donuts Chocolate Box_12 ct,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BAG,Dummy,Dummy,,Dummy
LABEL_A110_40_21,LABEL_Lazy Potato Chips Original Bag_6.5 oz,,,,,LABEL_A110_40_21,LABEL_Lazy Potato Chips Original Bag_6.5 oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A110_40_21,en-US,,,LABEL_Lazy Potato Chips Original Bag_6.5 oz,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A010,SF Wiser Light,,,,,SF_A010,SF Wiser Light,Dummy,Dummy,Dummy,Dummy,,SF010,SF Wiser Light,S100,SF Wiser,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A010,en-US,,,SF Wiser Light,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF010,SF Wiser Light,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A020,SF Wiser Strong,,,,,SF_A020,SF Wiser Strong,Dummy,Dummy,Dummy,Dummy,,SF020,SF Wiser Strong,S100,SF Wiser,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A020,en-US,,,SF Wiser Strong,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF020,SF Wiser Strong,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A030,SF Falstaff Light,,,,,SF_A030,SF Falstaff Light,Dummy,Dummy,Dummy,Dummy,,SF030,SF Falstaff Light,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A030,en-US,,,SF Falstaff Light,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF030,SF Falstaff Light,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A040,SF Falstaff Strong,,,,,SF_A040,SF Falstaff Strong,Dummy,Dummy,Dummy,Dummy,,SF040,SF Falstaff Strong,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A040,en-US,,,SF Falstaff Strong,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF040,SF Falstaff Strong,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A050,SF Falstaff Tropical Grapefruit,,,,,SF_A050,SF Falstaff Tropical Grapefruit,Dummy,Dummy,Dummy,Dummy,,SF050,SF Falstaff Tropical Grapefruit,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A050,en-US,,,SF Falstaff Tropical Grapefruit,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF050,SF Falstaff Tropical Grapefruit,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A060,SF Falstaff Tropical Mix,,,,,SF_A060,SF Falstaff Tropical Mix,Dummy,Dummy,Dummy,Dummy,,SF060,SF Falstaff Tropical Mix,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A060,en-US,,,SF Falstaff Tropical Mix,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF060,SF Falstaff Tropical Mix,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A070,SF Falstaff Tropical Lime,,,,,SF_A070,SF Falstaff Tropical Lime,Dummy,Dummy,Dummy,Dummy,,SF070,SF Falstaff Tropical Lime,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A070,en-US,,,SF Falstaff Tropical Lime,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF070,SF Falstaff Tropical Lime,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A080,SF Falstaff Tropical Rasberry,,,,,SF_A080,SF Falstaff Tropical Rasberry,Dummy,Dummy,Dummy,Dummy,,SF080,SF Falstaff Tropical Rasberry,S200,SF Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A080,en-US,,,SF Falstaff Tropical Rasberry,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF080,SF Falstaff Tropical Rasberry,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A090,SF Fresh Mini Croissants,,,,,SF_A090,SF Fresh Mini Croissants,Dummy,Dummy,Dummy,Dummy,,SF090,SF Fresh Mini Croissants,S300,SF Fresh,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A090,en-US,,,SF Fresh Mini Croissants,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF090,SF Fresh Mini Croissants,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A100,SF Marketstreet Donuts,,,,,SF_A100,SF Marketstreet Donuts,Dummy,Dummy,Dummy,Dummy,,SF100,SF Marketstreet Donuts,S400,SF Marketstreet,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A100,en-US,,,SF Marketstreet Donuts,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF100,SF Marketstreet Donuts,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
SF_A110,SF Lazy Potato Chips,,,,,SF_A110,SF Lazy Potato Chips,Dummy,Dummy,Variety Can 330 ML,Dummy,,SF110,SF Lazy Potato Chips,S500,SF Lazy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,SF_A110,en-US,,,SF Lazy Potato Chips,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,SubAssembly,,All Items,,SF110,SF Lazy Potato Chips,Dummy,Dummy,VARIETY PACK CAN,Dummy,Dummy,,Dummy
PACK_50_01,Variety Pack Material_Can 330,,,,,PACK_50_01,Variety Pack Material_Can 330,Dummy,Dummy,Variety Bottle 330 ML,330 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_50_01,en-US,,,Variety Pack Material_Can 330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,VARIETY PACK BOTTLE,Dummy,Dummy,,Dummy
PACK_60_01,Variety Pack Material_Bottle 330,,,,,PACK_60_01,Variety Pack Material_Bottle 330,Dummy,Dummy,Variety Can 330 ML,330 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_60_01,en-US,,,Variety Pack Material_Bottle 330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,VARIETY PACK CAN,Dummy,Dummy,,Dummy
LABEL_A120_10_01,LABEL_VarietyPack_Can_V1_330,,,,,LABEL_A120_10_01,LABEL_VarietyPack_Can_V1_330,Dummy,Dummy,Variety Can 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A120_10_01,en-US,,,LABEL_VarietyPack_Can_V1_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,VARIETY PACK CAN,Dummy,Dummy,,Dummy
LABEL_A120_11_01,LABEL_VarietyPack_Can_V2_330,,,,,LABEL_A120_11_01,LABEL_VarietyPack_Can_V2_330,Dummy,Dummy,Variety Can 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A120_11_01,en-US,,,LABEL_VarietyPack_Can_V2_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,VARIETY PACK BOTTLE,Dummy,Dummy,,Dummy
LABEL_A120_20_01,LABEL_VarietyPack_Bottle_V1_330,,,,,LABEL_A120_20_01,LABEL_VarietyPack_Bottle_V1_330,Dummy,Dummy,Variety Can 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A120_20_01,en-US,,,LABEL_VarietyPack_Bottle_V1_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,VARIETY PACK BOTTLE,Dummy,Dummy,,Dummy
LABEL_A120_21_01,LABEL_VarietyPack_Bottle_V2_330,,,,,LABEL_A120_21_01,LABEL_VarietyPack_Bottle_V2_330,Dummy,Dummy,Box 12 CT,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A120_21_01,en-US,,,LABEL_VarietyPack_Bottle_V2_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOX,Dummy,Dummy,,Dummy
LABEL_A100_30_21,LABEL_Marketstreet Donuts Chocolate Box_12 ct_NEW,,,,,LABEL_A100_30_21,LABEL_Marketstreet Donuts Chocolate Box_12 ct_NEW,Dummy,Dummy,,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A100_30_21,en-US,,,LABEL_Marketstreet Donuts Chocolate Box_12 ct_NEW,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,,Dummy
A020_20_10,Wiser Strong_Bottle_500,TRUE,12/31/2024 20:02,1/1/2024 20:02,TRUE,A020_20_10,Wiser Strong_Bottle_500,D10,Alcohol,,330 ML,Dummy,A020,Wiser Strong,B100,Wiser,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A020_20,en-US,12/31/2024 20:02,1/1/2024 20:02,Wiser Strong_Bottle,T-A020_20,Wiser Strong_Bottle,Default,0.88,88%,N/A,0,0%,250,250 cal,500 ML,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A020,Wiser Strong,D10,Alcohol,,BY,Dummy,Dummy,All Items
A040_10_01,Falstaff Strong_Can_500,TRUE,12/31/2024 20:02,1/1/2024 20:02,TRUE,A040_10_01,Falstaff Strong_Can_500,D10,Alcohol,,500 ML,Dummy,A040,Falstaff Strong,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A040_10,en-US,12/31/2024 20:02,1/1/2024 20:02,Falstaff Strong_Can,T-A040_10,Falstaff Strong_Can,Default,0.34,34%,N/A,0,0%,230,230 cal,500 ML,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A040,Falstaff Strong,D10,Alcohol,,AY,Dummy,Dummy,All Items
50-1-0000000001,Best SAUCE  (EXPORT)(12)   255GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000001,Best SAUCE  (EXPORT)(12)   255GM,50-L4-001,Condiments,Bottle 255GM,,,50-L1-001,Best  SAUCE (12)   255GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000001,en-US,1/1/2029 0:00,1/1/2019 0:00,Best SAUCE  (EXPORT)(12)   255GM,50-1-0000000001,Best SAUCE  (EXPORT)(12)   255GM,Default,0,0%,N/A,0,0%,0,0 cal,255 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-001,Best  SAUCE (12)   255GM,50-L4-001,Condiments,BOTTLE,AX,Dummy,,All Items
50-1-0000000002,Best  SAUCE TD   (12)   450GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000002,Best  SAUCE TD   (12)   450GM,50-L4-001,Condiments,Bottle 450GM,,,50-L1-002,Best  SAUCE TD (12)   450GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000002,en-US,1/1/2029 0:00,1/1/2019 0:00,Best  SAUCE TD   (12)   450GM,50-1-0000000002,Best  SAUCE TD   (12)   450GM,Default,0,0%,N/A,0,0%,0,0 cal,450 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-002,Best  SAUCE TD (12)   450GM,50-L4-001,Condiments,BOTTLE,AX,Dummy,,All Items
50-1-0000000003,Best  SAUCE  (12)   425GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000003,Best  SAUCE  (12)   425GM,50-L4-001,Condiments,Bottle 425GM,,,50-L1-003,Best  SAUCE (12)   425GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000003,en-US,1/1/2029 0:00,1/1/2019 0:00,Best  SAUCE  (12)   425GM,50-1-0000000003,Best  SAUCE  (12)   425GM,Default,0,0%,N/A,0,0%,0,0 cal,425 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-003,Best  SAUCE (12)   425GM,50-L4-001,Condiments,BOTTLE,AX,Dummy,,All Items
50-1-0000000004,Best  SAUCE  ( 8)   285GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000004,Best  SAUCE  ( 8)   285GM,50-L4-001,Condiments,Bottle 285GM,,,50-L1-004,Best  SAUCE ( 8)   285GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000004,en-US,1/1/2029 0:00,1/1/2019 0:00,Best  SAUCE  ( 8)   285GM,50-1-0000000004,Best  SAUCE  ( 8)   285GM,Default,0,0%,N/A,0,0%,0,0 cal,285 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-004,Best  SAUCE ( 8)   285GM,50-L4-001,Condiments,BOTTLE,AX,Dummy,,All Items
50-1-0000000005,Best  SAUCE RSS TD  (12)   450GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000005,Best  SAUCE RSS TD  (12)   450GM,50-L4-001,Condiments,Bottle 450GM,,,50-L1-005,Best  SAUCE REDUCED RSS TD (12)   450GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000005,en-US,1/1/2029 0:00,1/1/2019 0:00,Best  SAUCE RSS TD  (12)   450GM,50-1-0000000005,Best  SAUCE RSS TD  (12)   450GM,Default,0,0%,N/A,0,0%,0,0 cal,450 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-005,Best  SAUCE REDUCED RSS TD (12)   450GM,50-L4-001,Condiments,BOTTLE,BY,Dummy,,All Items
50-1-0000000006,Best  SAUCE  ( 8)   600GM,,1/1/2029 0:00,1/1/2019 0:00,TRUE,50-1-0000000006,Best  SAUCE  ( 8)   600GM,50-L4-001,Condiments,Bottle 600GM,,,50-L1-006,Best  SAUCE ( 8)   600GM,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-1-0000000006,en-US,1/1/2029 0:00,1/1/2019 0:00,Best  SAUCE  ( 8)   600GM,50-1-0000000006,Best  SAUCE  ( 8)   600GM,Default,0,0%,N/A,0,0%,0,0 cal,600 GM,Existing,,,,,,,,FinishedGoods,,All Items,,50-L1-006,Best  SAUCE ( 8)   600GM,50-L4-001,Condiments,BOTTLE,AX,Dummy,,All Items
A146_12_01,ChocoDream 40% Cocoa SeaSalt_Bar_3.5oz,TRUE,12/30/2025 18:30,8/14/2023 18:30,TRUE,A146_12_01,ChocoDream 40% Cocoa SeaSalt_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,Dummy,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A146_12,,12/30/2025 18:30,8/14/2023 18:30,ChocoDream 40% Cocoa SeaSalt_Bar,T-A146_12,ChocoDream 40% Cocoa SeaSalt_Bar,Default,0,0%,SeaSalt,0.4,40%,522,522 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
A146_13_01,ChocoDream 40% Cocoa Coconut_Bar_3.5oz,TRUE,12/30/2025 18:30,8/14/2023 18:30,TRUE,A146_13_01,ChocoDream 40% Cocoa Coconut_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,Dummy,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A146_13,,12/30/2025 18:30,8/14/2023 18:30,ChocoDream 40% Cocoa Coconut_Bar,T-A146_13,ChocoDream 40% Cocoa Coconut_Bar,Default,0,0%,Coconut,0.4,40%,520,520 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
A030_10_10,Falstaff Light_Can_330,TRUE,12/31/2029 14:02,1/1/2024 14:02,TRUE,A030_10_10,Falstaff Light_Can_330,D10,Alcohol,,330 ML,Dummy,A030,Falstaff Light,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A030_10,en-US,12/31/2029 14:02,1/1/2024 14:02,Falstaff Light_Can,T-A030_10,Falstaff Light_Can,Default,0.55,55%,N/A,0,0%,100,100 cal,330 ML,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A030,Falstaff Light,D10,Alcohol,,BY,Dummy,Dummy,All Items
ChocoDream 40% Cocoa Sea Salt Caramel_Bar_3.5oz,ChocoDream 40% Cocoa Sea Salt Caramel_Bar_3.5oz,TRUE,,,TRUE,ChocoDream 40% Cocoa Sea Salt Caramel_Bar_3.5oz,ChocoDream 40% Cocoa Sea Salt Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,,Dummy,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,ChocoDream 40% Cocoa Sea Salt Caramel_Bar,en-US,,,ChocoDream 40% Cocoa Sea Salt Caramel_Bar,T-ChocoDream 40% Cocoa Sea Salt Caramel_Bar,ChocoDream 40% Cocoa Sea Salt Caramel_Bar,,0,0%,Caramel,0.4,40%,520,520 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
